"","date","approval","percentage"
"1",2023-02-01,"Approve",0.83
"2",2023-02-01,"Don't approve",0.14
"3",2023-02-01,"No answer",0.02
"4",2023-01-01,"Approve",0.82
"5",2023-01-01,"Don't approve",0.16
"6",2023-01-01,"No answer",0.02
"7",2022-12-01,"Approve",0.81
"8",2022-12-01,"Don't approve",0.17
"9",2022-12-01,"No answer",0.02
"10",2022-11-01,"Approve",0.79
"11",2022-11-01,"Don't approve",0.18
"12",2022-11-01,"No answer",0.03
"13",2022-10-01,"Approve",0.79
"14",2022-10-01,"Don't approve",0.19
"15",2022-10-01,"No answer",0.02
"16",2022-09-01,"Approve",0.77
"17",2022-09-01,"Don't approve",0.21
"18",2022-09-01,"No answer",0.02
"19",2022-08-01,"Approve",0.83
"20",2022-08-01,"Don't approve",0.15
"21",2022-08-01,"No answer",0.02
"22",2022-07-01,"Approve",0.83
"23",2022-07-01,"Don't approve",0.15
"24",2022-07-01,"No answer",0.02
"25",2022-06-01,"Approve",0.83
"26",2022-06-01,"Don't approve",0.16
"27",2022-06-01,"No answer",0.01
"28",2022-05-01,"Approve",0.83
"29",2022-05-01,"Don't approve",0.15
"30",2022-05-01,"No answer",0.02
"31",2022-04-01,"Approve",0.82
"32",2022-04-01,"Don't approve",0.17
"33",2022-04-01,"No answer",0.01
"34",2022-03-01,"Approve",0.83
"35",2022-03-01,"Don't approve",0.15
"36",2022-03-01,"No answer",0.02
"37",2022-02-01,"Approve",0.71
"38",2022-02-01,"Don't approve",0.27
"39",2022-02-01,"No answer",0.01
"40",2022-01-01,"Approve",0.69
"41",2022-01-01,"Don't approve",0.29
"42",2022-01-01,"No answer",0.02
"43",2021-12-01,"Approve",0.65
"44",2021-12-01,"Don't approve",0.34
"45",2021-12-01,"No answer",0.01
"46",2021-11-01,"Approve",0.63
"47",2021-11-01,"Don't approve",0.35
"48",2021-11-01,"No answer",0.02
"49",2021-10-01,"Approve",0.67
"50",2021-10-01,"Don't approve",0.33
"51",2021-10-01,"No answer",0.01
"52",2021-09-01,"Approve",0.64
"53",2021-09-01,"Don't approve",0.34
"54",2021-09-01,"No answer",0.02
"55",2021-08-01,"Approve",0.61
"56",2021-08-01,"Don't approve",0.37
"57",2021-08-01,"No answer",0.02
"58",2021-07-01,"Approve",0.64
"59",2021-07-01,"Don't approve",0.35
"60",2021-07-01,"No answer",0.01
"61",2021-06-01,"Approve",0.66
"62",2021-06-01,"Don't approve",0.32
"63",2021-06-01,"No answer",0.02
"64",2021-05-01,"Approve",0.67
"65",2021-05-01,"Don't approve",0.32
"66",2021-05-01,"No answer",0.02
"67",2021-04-01,"Approve",0.65
"68",2021-04-01,"Don't approve",0.33
"69",2021-04-01,"No answer",0.02
"70",2021-03-01,"Approve",0.63
"71",2021-03-01,"Don't approve",0.35
"72",2021-03-01,"No answer",0.02
"73",2021-02-01,"Approve",0.65
"74",2021-02-01,"Don't approve",0.34
"75",2021-02-01,"No answer",0.02
"76",2021-01-01,"Approve",0.64
"77",2021-01-01,"Don't approve",0.34
"78",2021-01-01,"No answer",0.02
"79",2020-11-01,"Approve",0.65
"80",2020-11-01,"Don't approve",0.34
"81",2020-11-01,"No answer",0.01
"82",2020-10-01,"Approve",0.68
"83",2020-10-01,"Don't approve",0.31
"84",2020-10-01,"No answer",0.01
"85",2020-09-01,"Approve",0.69
"86",2020-09-01,"Don't approve",0.3
"87",2020-09-01,"No answer",0.01
"88",2020-08-01,"Approve",0.66
"89",2020-08-01,"Don't approve",0.33
"90",2020-08-01,"No answer",0.01
"91",2020-07-01,"Approve",0.6
"92",2020-07-01,"Don't approve",0.33
"93",2020-07-01,"No answer",0.06
"94",2020-06-01,"Approve",0.6
"95",2020-06-01,"Don't approve",0.35
"96",2020-06-01,"No answer",0.06
"97",2020-05-01,"Approve",0.59
"98",2020-05-01,"Don't approve",0.34
"99",2020-05-01,"No answer",0.07
"100",2020-04-01,"Approve",0.59
"101",2020-04-01,"Don't approve",0.33
"102",2020-04-01,"No answer",0.08
"103",2020-03-01,"Approve",0.63
"104",2020-03-01,"Don't approve",0.36
"105",2020-03-01,"No answer",0.02
"106",2020-02-01,"Approve",0.69
"107",2020-02-01,"Don't approve",0.3
"108",2020-02-01,"No answer",0.01
"109",2020-01-01,"Approve",0.68
"110",2020-01-01,"Don't approve",0.31
"111",2020-01-01,"No answer",0.01
"112",2019-12-01,"Approve",0.68
"113",2019-12-01,"Don't approve",0.31
"114",2019-12-01,"No answer",0.01
"115",2019-11-01,"Approve",0.68
"116",2019-11-01,"Don't approve",0.31
"117",2019-11-01,"No answer",0.01
"118",2019-10-01,"Approve",0.7
"119",2019-10-01,"Don't approve",0.29
"120",2019-10-01,"No answer",0.01
"121",2019-09-01,"Approve",0.68
"122",2019-09-01,"Don't approve",0.31
"123",2019-09-01,"No answer",0.01
"124",2019-08-01,"Approve",0.67
"125",2019-08-01,"Don't approve",0.31
"126",2019-08-01,"No answer",0.01
"127",2019-07-01,"Approve",0.68
"128",2019-07-01,"Don't approve",0.31
"129",2019-07-01,"No answer",0.01
"130",2019-06-01,"Approve",0.68
"131",2019-06-01,"Don't approve",0.31
"132",2019-06-01,"No answer",0.01
"133",2019-05-01,"Approve",0.66
"134",2019-05-01,"Don't approve",0.32
"135",2019-05-01,"No answer",0.02
"136",2019-04-01,"Approve",0.66
"137",2019-04-01,"Don't approve",0.33
"138",2019-04-01,"No answer",0.01
"139",2019-03-01,"Approve",0.64
"140",2019-03-01,"Don't approve",0.34
"141",2019-03-01,"No answer",0.02
"142",2019-02-01,"Approve",0.64
"143",2019-02-01,"Don't approve",0.35
"144",2019-02-01,"No answer",0.01
"145",2019-01-01,"Approve",0.64
"146",2019-01-01,"Don't approve",0.34
"147",2019-01-01,"No answer",0.01
"148",2018-12-01,"Approve",0.66
"149",2018-12-01,"Don't approve",0.33
"150",2018-12-01,"No answer",0.01
"151",2018-11-01,"Approve",0.66
"152",2018-11-01,"Don't approve",0.33
"153",2018-11-01,"No answer",0.01
"154",2018-10-01,"Approve",0.66
"155",2018-10-01,"Don't approve",0.33
"156",2018-10-01,"No answer",0.01
"157",2018-09-01,"Approve",0.67
"158",2018-09-01,"Don't approve",0.33
"159",2018-09-01,"No answer",0.01
"160",2018-08-01,"Approve",0.7
"161",2018-08-01,"Don't approve",0.3
"162",2018-08-01,"No answer",0.01
"163",2018-07-01,"Approve",0.67
"164",2018-07-01,"Don't approve",0.32
"165",2018-07-01,"No answer",0.01
"166",2018-05-01,"Approve",0.79
"167",2018-05-01,"Don't approve",0.2
"168",2018-05-01,"No answer",0.01
"169",2018-04-01,"Approve",0.82
"170",2018-04-01,"Don't approve",0.17
"171",2018-04-01,"No answer",0.01
"172",2018-03-01,"Approve",0.8
"173",2018-03-01,"Don't approve",0.19
"174",2018-03-01,"No answer",0.01
"175",2018-02-01,"Approve",0.76
"176",2018-02-01,"Don't approve",0.22
"177",2018-02-01,"No answer",0.02
"178",2018-01-01,"Approve",0.8
"179",2018-01-01,"Don't approve",0.18
"180",2018-01-01,"No answer",0.02
"181",2017-12-01,"Approve",0.82
"182",2017-12-01,"Don't approve",0.17
"183",2017-12-01,"No answer",0.01
"184",2017-11-01,"Approve",0.81
"185",2017-11-01,"Don't approve",0.18
"186",2017-11-01,"No answer",0.01
"187",2017-10-01,"Approve",0.82
"188",2017-10-01,"Don't approve",0.17
"189",2017-10-01,"No answer",0.01
"190",2017-09-01,"Approve",0.83
"191",2017-09-01,"Don't approve",0.17
"192",2017-09-01,"No answer",0.01
"193",2017-08-01,"Approve",0.83
"194",2017-08-01,"Don't approve",0.15
"195",2017-08-01,"No answer",0.01
"196",2017-07-01,"Approve",0.83
"197",2017-07-01,"Don't approve",0.15
"198",2017-07-01,"No answer",0.02
"199",2017-06-01,"Approve",0.81
"200",2017-06-01,"Don't approve",0.18
"201",2017-06-01,"No answer",0.01
"202",2017-05-01,"Approve",0.81
"203",2017-05-01,"Don't approve",0.18
"204",2017-05-01,"No answer",0.01
"205",2017-04-01,"Approve",0.82
"206",2017-04-01,"Don't approve",0.18
"207",2017-04-01,"No answer",0.01
"208",2017-03-01,"Approve",0.82
"209",2017-03-01,"Don't approve",0.17
"210",2017-03-01,"No answer",0.01
"211",2017-02-01,"Approve",0.84
"212",2017-02-01,"Don't approve",0.15
"213",2017-02-01,"No answer",0.01
"214",2017-01-01,"Approve",0.85
"215",2017-01-01,"Don't approve",0.14
"216",2017-01-01,"No answer",0.01
"217",2016-12-01,"Approve",0.84
"218",2016-12-01,"Don't approve",0.15
"219",2016-12-01,"No answer",0.01
"220",2016-11-01,"Approve",0.86
"221",2016-11-01,"Don't approve",0.14
"222",2016-11-01,"No answer",0.01
"223",2016-10-01,"Approve",0.84
"224",2016-10-01,"Don't approve",0.16
"225",2016-10-01,"No answer",0.01
"226",2016-09-01,"Approve",0.82
"227",2016-09-01,"Don't approve",0.18
"228",2016-09-01,"No answer",0.01
"229",2016-08-01,"Approve",0.82
"230",2016-08-01,"Don't approve",0.18
"231",2016-08-01,"No answer",0.01
"232",2016-07-01,"Approve",0.82
"233",2016-07-01,"Don't approve",0.17
"234",2016-07-01,"No answer",0.01
"235",2016-06-01,"Approve",0.81
"236",2016-06-01,"Don't approve",0.18
"237",2016-06-01,"No answer",0.01
"238",2016-05-01,"Approve",0.8
"239",2016-05-01,"Don't approve",0.19
"240",2016-05-01,"No answer",0.01
"241",2016-04-01,"Approve",0.82
"242",2016-04-01,"Don't approve",0.17
"243",2016-04-01,"No answer",0.01
"244",2016-03-01,"Approve",0.82
"245",2016-03-01,"Don't approve",0.17
"246",2016-03-01,"No answer",0.01
"247",2016-02-01,"Approve",0.81
"248",2016-02-01,"Don't approve",0.19
"249",2016-02-01,"No answer",0.01
"250",2016-01-01,"Approve",0.82
"251",2016-01-01,"Don't approve",0.18
"252",2016-01-01,"No answer",0.01
"253",2015-12-01,"Approve",0.85
"254",2015-12-01,"Don't approve",0.14
"255",2015-12-01,"No answer",0.01
"256",2015-11-01,"Approve",0.85
"257",2015-11-01,"Don't approve",0.14
"258",2015-11-01,"No answer",0.01
"259",2015-10-01,"Approve",0.88
"260",2015-10-01,"Don't approve",0.12
"261",2015-10-01,"No answer",0.01
"262",2015-09-01,"Approve",0.84
"263",2015-09-01,"Don't approve",0.15
"264",2015-09-01,"No answer",0.01
"265",2015-08-01,"Approve",0.83
"266",2015-08-01,"Don't approve",0.17
"267",2015-08-01,"No answer",0.01
"268",2015-07-01,"Approve",0.87
"269",2015-07-01,"Don't approve",0.12
"270",2015-07-01,"No answer",0.01
"271",2015-06-01,"Approve",0.89
"272",2015-06-01,"Don't approve",0.1
"273",2015-06-01,"No answer",0.01
"274",2015-05-01,"Approve",0.86
"275",2015-05-01,"Don't approve",0.13
"276",2015-05-01,"No answer",0.01
"277",2015-04-01,"Approve",0.86
"278",2015-04-01,"Don't approve",0.13
"279",2015-04-01,"No answer",0.01
"280",2015-03-01,"Approve",0.85
"281",2015-03-01,"Don't approve",0.14
"282",2015-03-01,"No answer",0.01
"283",2015-02-01,"Approve",0.86
"284",2015-02-01,"Don't approve",0.13
"285",2015-02-01,"No answer",0.01
"286",2015-01-01,"Approve",0.85
"287",2015-01-01,"Don't approve",0.15
"288",2015-01-01,"No answer",0.01
"289",2014-12-01,"Approve",0.85
"290",2014-12-01,"Don't approve",0.14
"291",2014-12-01,"No answer",0.01
"292",2014-11-01,"Approve",0.85
"293",2014-11-01,"Don't approve",0.14
"294",2014-11-01,"No answer",0.02
"295",2014-10-01,"Approve",0.88
"296",2014-10-01,"Don't approve",0.11
"297",2014-10-01,"No answer",0.01
"298",2014-09-01,"Approve",0.86
"299",2014-09-01,"Don't approve",0.14
"300",2014-09-01,"No answer",0.01
"301",2014-08-01,"Approve",0.84
"302",2014-08-01,"Don't approve",0.15
"303",2014-08-01,"No answer",0.01
"304",2014-07-01,"Approve",0.85
"305",2014-07-01,"Don't approve",0.14
"306",2014-07-01,"No answer",0.01
"307",2014-06-01,"Approve",0.86
"308",2014-06-01,"Don't approve",0.13
"309",2014-06-01,"No answer",0.01
"310",2014-05-01,"Approve",0.83
"311",2014-05-01,"Don't approve",0.16
"312",2014-05-01,"No answer",0.01
"313",2014-04-01,"Approve",0.82
"314",2014-04-01,"Don't approve",0.17
"315",2014-04-01,"No answer",0.01
"316",2014-03-01,"Approve",0.8
"317",2014-03-01,"Don't approve",0.18
"318",2014-03-01,"No answer",0.02
"319",2014-02-01,"Approve",0.69
"320",2014-02-01,"Don't approve",0.3
"321",2014-02-01,"No answer",0.01
"322",2014-01-01,"Approve",0.65
"323",2014-01-01,"Don't approve",0.34
"324",2014-01-01,"No answer",0.01
"325",2013-12-01,"Approve",0.65
"326",2013-12-01,"Don't approve",0.34
"327",2013-12-01,"No answer",0.02
"328",2013-11-01,"Approve",0.61
"329",2013-11-01,"Don't approve",0.37
"330",2013-11-01,"No answer",0.02
"331",2013-10-01,"Approve",0.64
"332",2013-10-01,"Don't approve",0.35
"333",2013-10-01,"No answer",0.01
"334",2013-09-01,"Approve",0.64
"335",2013-09-01,"Don't approve",0.35
"336",2013-09-01,"No answer",0.01
"337",2013-08-01,"Approve",0.63
"338",2013-08-01,"Don't approve",0.36
"339",2013-08-01,"No answer",0.01
"340",2013-07-01,"Approve",0.65
"341",2013-07-01,"Don't approve",0.35
"342",2013-07-01,"No answer",0.01
"343",2013-06-01,"Approve",0.63
"344",2013-06-01,"Don't approve",0.35
"345",2013-06-01,"No answer",0.01
"346",2013-05-01,"Approve",0.64
"347",2013-05-01,"Don't approve",0.35
"348",2013-05-01,"No answer",0.01
"349",2013-04-01,"Approve",0.63
"350",2013-04-01,"Don't approve",0.37
"351",2013-04-01,"No answer",0.01
"352",2013-03-01,"Approve",0.63
"353",2013-03-01,"Don't approve",0.36
"354",2013-03-01,"No answer",0.01
"355",2013-02-01,"Approve",0.65
"356",2013-02-01,"Don't approve",0.34
"357",2013-02-01,"No answer",0.01
"358",2013-01-01,"Approve",0.62
"359",2013-01-01,"Don't approve",0.37
"360",2013-01-01,"No answer",0.01
"361",2012-12-01,"Approve",0.65
"362",2012-12-01,"Don't approve",0.35
"363",2012-12-01,"No answer",0.01
"364",2012-11-01,"Approve",0.63
"365",2012-11-01,"Don't approve",0.36
"366",2012-11-01,"No answer",0.01
"367",2012-10-01,"Approve",0.67
"368",2012-10-01,"Don't approve",0.32
"369",2012-10-01,"No answer",0.01
"370",2012-09-01,"Approve",0.67
"371",2012-09-01,"Don't approve",0.31
"372",2012-09-01,"No answer",0.02
"373",2012-08-01,"Approve",0.63
"374",2012-08-01,"Don't approve",0.35
"375",2012-08-01,"No answer",0.02
"376",2012-07-01,"Approve",0.67
"377",2012-07-01,"Don't approve",0.32
"378",2012-07-01,"No answer",0.01
"379",2012-06-01,"Approve",0.64
"380",2012-06-01,"Don't approve",0.34
"381",2012-06-01,"No answer",0.02
"382",2012-05-01,"Approve",0.69
"383",2012-05-01,"Don't approve",0.3
"384",2012-05-01,"No answer",0.01
"385",2012-04-01,"Approve",0.67
"386",2012-04-01,"Don't approve",0.32
"387",2012-04-01,"No answer",0.01
"388",2012-03-01,"Approve",0.68
"389",2012-03-01,"Don't approve",0.31
"390",2012-03-01,"No answer",0.01
"391",2012-02-01,"Approve",0.65
"392",2012-02-01,"Don't approve",0.34
"393",2012-02-01,"No answer",0.01
"394",2012-01-01,"Approve",0.64
"395",2012-01-01,"Don't approve",0.34
"396",2012-01-01,"No answer",0.02
"397",2011-12-01,"Approve",0.63
"398",2011-12-01,"Don't approve",0.36
"399",2011-12-01,"No answer",0.01
"400",2011-11-01,"Approve",0.67
"401",2011-11-01,"Don't approve",0.32
"402",2011-11-01,"No answer",0.01
"403",2011-10-01,"Approve",0.66
"404",2011-10-01,"Don't approve",0.31
"405",2011-10-01,"No answer",0.03
"406",2011-09-01,"Approve",0.68
"407",2011-09-01,"Don't approve",0.31
"408",2011-09-01,"No answer",0.02
"409",2011-08-01,"Approve",0.68
"410",2011-08-01,"Don't approve",0.3
"411",2011-08-01,"No answer",0.02
"412",2011-07-01,"Approve",0.68
"413",2011-07-01,"Don't approve",0.31
"414",2011-07-01,"No answer",0.01
"415",2011-06-01,"Approve",0.69
"416",2011-06-01,"Don't approve",0.3
"417",2011-06-01,"No answer",0.02
"418",2011-05-01,"Approve",0.69
"419",2011-05-01,"Don't approve",0.29
"420",2011-05-01,"No answer",0.01
"421",2011-04-01,"Approve",0.71
"422",2011-04-01,"Don't approve",0.27
"423",2011-04-01,"No answer",0.02
"424",2011-03-01,"Approve",0.69
"425",2011-03-01,"Don't approve",0.29
"426",2011-03-01,"No answer",0.02
"427",2011-02-01,"Approve",0.73
"428",2011-02-01,"Don't approve",0.25
"429",2011-02-01,"No answer",0.02
"430",2011-01-01,"Approve",0.72
"431",2011-01-01,"Don't approve",0.25
"432",2011-01-01,"No answer",0.03
"433",2010-12-01,"Approve",0.79
