"","country","country_group","age_pr","household_income","trust_president","satisfaction_economy"
"1","Albania","EU-candidate",47,NA,2,3
"2","Albania","EU-candidate",58,50000,3,3
"3","Albania","EU-candidate",40,NA,2,4
"4","Albania","EU-candidate",58,30000,4,2
"5","Albania","EU-candidate",28,NA,2,4
"6","Albania","EU-candidate",20,20000,3,2
"7","Albania","EU-candidate",48,80000,2,4
"8","Albania","EU-candidate",38,NA,2,2
"9","Albania","EU-candidate",52,30000,4,4
"10","Albania","EU-candidate",54,NA,2,2
"11","Albania","EU-candidate",53,60000,1,4
"12","Albania","EU-candidate",35,80000,2,4
"13","Albania","EU-candidate",20,NA,2,2
"14","Albania","EU-candidate",48,100000,4,4
"15","Albania","EU-candidate",28,20000,1,2
"16","Albania","EU-candidate",40,30000,1,2
"17","Albania","EU-candidate",25,50000,3,4
"18","Albania","EU-candidate",55,50000,1,2
"19","Albania","EU-candidate",48,30000,2,2
"20","Albania","EU-candidate",33,50000,2,2
"21","Albania","EU-candidate",55,60000,2,3
"22","Albania","EU-candidate",37,30000,1,4
"23","Albania","EU-candidate",54,20000,2,2
"24","Albania","EU-candidate",25,50000,4,4
"25","Albania","EU-candidate",56,20000,3,2
"26","Albania","EU-candidate",57,15000,3,3
"27","Albania","EU-candidate",34,50000,2,4
"28","Albania","EU-candidate",25,50000,3,4
"29","Albania","EU-candidate",30,NA,3,2
"30","Albania","EU-candidate",58,20000,3,2
"31","Albania","EU-candidate",45,100000,5,4
"32","Albania","EU-candidate",40,50000,4,4
"33","Albania","EU-candidate",52,50000,3,2
"34","Albania","EU-candidate",50,40000,2,4
"35","Albania","EU-candidate",35,60000,2,4
"36","Albania","EU-candidate",59,70000,2,4
"37","Albania","EU-candidate",30,20000,4,2
"38","Albania","EU-candidate",40,50000,3,4
"39","Albania","EU-candidate",58,30000,2,2
"40","Albania","EU-candidate",50,NA,2,2
"41","Albania","EU-candidate",35,60,1,2
"42","Albania","EU-candidate",30,150,4,5
"43","Albania","EU-candidate",47,120,2,5
"44","Albania","EU-candidate",48,50,1,4
"45","Albania","EU-candidate",59,50,1,2
"46","Albania","EU-candidate",28,100,2,4
"47","Albania","EU-candidate",50,400,1,2
"48","Albania","EU-candidate",59,40,1,2
"49","Albania","EU-candidate",41,80,2,4
"50","Albania","EU-candidate",37,85,2,4
"51","Albania","EU-candidate",54,60,1,4
"52","Albania","EU-candidate",44,80,2,4
"53","Albania","EU-candidate",47,45000,1,4
"54","Albania","EU-candidate",38,60,1,2
"55","Albania","EU-candidate",51,124,2,2
"56","Albania","EU-candidate",52,40,1,4
"57","Albania","EU-candidate",20,85,4,4
"58","Albania","EU-candidate",28,80,4,4
"59","Albania","EU-candidate",56,60,1,4
"60","Albania","EU-candidate",30,90,1,4
"61","Albania","EU-candidate",66,24,1,2
"62","Albania","EU-candidate",27,400,1,2
"63","Albania","EU-candidate",41,600,2,4
"64","Albania","EU-candidate",58,400,1,1
"65","Albania","EU-candidate",65,50,4,5
"66","Albania","EU-candidate",65,85,1,2
"67","Albania","EU-candidate",37,90,4,5
"68","Albania","EU-candidate",54,80,4,4
"69","Albania","EU-candidate",53,70,2,4
"70","Albania","EU-candidate",66,25,1,2
"71","Albania","EU-candidate",40,100,2,4
"72","Albania","EU-candidate",50,60,1,4
"73","Albania","EU-candidate",41,150,2,4
"74","Albania","EU-candidate",31,60,2,4
"75","Albania","EU-candidate",27,120,2,4
"76","Albania","EU-candidate",32,120,4,4
"77","Albania","EU-candidate",58,50,1,2
"78","Albania","EU-candidate",25,70,2,4
"79","Albania","EU-candidate",50,60,1,2
"80","Albania","EU-candidate",47,80,2,4
"81","Albania","EU-candidate",44,60,1,4
"82","Albania","EU-candidate",59,120,1,4
"83","Albania","EU-candidate",44,80,1,4
"84","Albania","EU-candidate",35,50,1,4
"85","Albania","EU-candidate",39,70,4,4
"86","Albania","EU-candidate",26,80,1,4
